0,1
1/18/2025 18:49:32,Timestamp
,Score
Ila masoko ga konze humala utamu urio ndani si mwonekano,"But for the export market, they care more about the taste inside than the outside appearance."
unaeza himiza atu kala ukurima wa karakara ni chaguo ridzo,You can advise anyone starting out that passion fruit farming is a good choice.
kawanda dziutha,They will never regret it.
Unaeza anza na matunda ga karakara kwa sababu ni ukirima mudzo,"You can start with passion fruits, and they are great for farming."
kuna vitu vihahu muhimu vya kulolera,There are three key things to consider.
cha kwanza ni madzi,The first one is the availability of water.
mapashoni gana uhitaji wa madzi ga kunyunyizira mwaka mzima mfululizo ,Passion fruits require water for irrigation throughout the year.
"bila madzi ,mimera yakwako indapata thabu nyinji.","Without water, your crops will face many problems."
"kwavizho, madzi ndo kitu cha kwanza muhimu","So, water is the first important factor."
cha hiri ni jinsi uipazho chakurya,The second one is your feeding program.
Unahitaji mbinu mbidzo yakuipa chakurya.,You need a good feeding system.
Unafaha kuhumira mbolea za tembe na za madzi.,You should use both granular fertilizers and liquid fertilizers.
Unaeza humira mbolea  Kikaboni inayosaidia karakara kunawiri tototo,"You can also use manure, especially organic manure, which helps passion fruits grow better."
kitu kiricho na umuhimu ni ubora wa miche,The third key factor is the quality of the seedlings.
ubora wa miche undareha mavuno madzo,The quality of the seedlings will determine the quality of the harvest.
ni here biashara zingine msingi mudzo  ni lazima ,"Just like in other businesses, the foundation matters."
kwa soko ni mambo gaga gaga tu,"As for the market, I thought it was part of these factors."
soko si shida,"No, the market is not a problem."
unaeza anza kurima na kutafuta soko badae,You can start farming and find the market along the way.
ta ukenda soko umdapata karakara zikiguzwa,"Even if you go to a local market, you will see passion fruits being sold."
mfano sokoni matunda mahahu ganaguzwa kwa shilingi 50,"For example, on the streets, they sell three fruits for 50 shillings."
io ni here kilo 150 au kilo 200,That would be around 150 to 200 shillings per kilogram.
na anatengeza faida,And they are making a profit.
"usikale na shaka kuhusu soko ,soko rinapatikana","So, there is no worry about the market; it is guaranteed."
akurima anaeza nyala karakara bila wasiwasi wa soko,Farmers can grow passion fruits without fear because the market is available.
sasa hinde hunene huhusu pande ya hiri ya kutayarisha mbeyu,"Now, let's talk about the next part: seed preparation."
umkurima wa kutengeza mbeyu na wa kunyala,You are a seed propagator and also a farmer.
Unahenda kazi na akurima elfu mwenga wanaopata mbeyu kombola kwako,"You work with over a thousand farmers, who get their seedlings from you."
go mashamba hukirira hutambua kitu,"Among the many farms you've visited, you noticed something."
ni maswali higo akurima huuza kuhusu mbeyu,What is the common issue or question that farmers have when it comes to seedlings?
Ni siri hio ya kufanikiwa kwa akurima wa kunyala karakara,What is the secret to success with passion fruit farming?
mbeyu zenu zina manufaa higo ta atu angule kwenu,"Why are your seedlings special, and why should people come to you for seedlings?"
Matunda ga karakara si rahisi kunyala lakini pia ni rahisi ukihenda vitu njira mbidzo,Passion fruit is a tricky plant to grow but also very easy if you do things the right way.
mfano unaezapata muhi wa karakara umera kwa mbeyu zirizo bwagwa na ndenge,"For example, you might see a passion fruit plant growing naturally, perhaps because birds dropped seeds there."
uo muhi unaeza kula na komboza matunda ga hali ya dzulu,"That plant might thrive, producing high-quality fruits."
ukihumira mbeyu zizo undapata kaindakupa mazao madzo,"But if you try to plant passion fruits on your farm, even using the same seeds, the results may not be as good."
sababu hukala mumea wa karakara huvamiwa rahisi na makongo,"This happens because passion fruit is affected by diseases, and these diseases spread easily."
makongo gaga hurehwa na vidudu virivyo mundani,The diseases are carried by insects or other things around the farm.
ukinyala karakara hakeye vidudu vindavamia na indakala vigumu kuviomboza,"When you grow only passion fruits, the pests will focus on your crops, making it harder to control the problem."
ni muhimu kuhumira mbinu inayofaa,That’s why it’s important to start the right way and take good care of the plants.
kafuhumira mboyu zozosi kunyala karakara,We don't just use any seeds to grow passion fruits.
hunahumira aina mbiri za mbeyu Mizizi na vitagai ,There are two types of seeds we work with: the rootstock and the scion.
"kwa mizizi humahumira mbeyu ya ""bitter yello""","For the rootstock, we use a type of passion fruit called ""bitter yellow."""
matunda gaga hukala tsatsu ta gakiiva,"This yellow fruit is very bitter, even when ripe."
ta ukiongeza sukati bado hukala tsatsu,"Even if you add sugar, it remains bitter."
Ii aina ni mbizo kwasababu hukala na mizizi ya nguvu,This type is the best for rootstock because it has strong roots.
